|Motor Learning in a Complex Motor Task Is Unaffected by Three Consecutive Days of Transcranial Alternating Current Stimulation|Changing Sleep Architecture through Motor Learning: Influences of a Trampoline Session on REM Sleep Parameters|Action-induced changes in the perceived temporal features of visual events|Exploring pain interference with motor skill learning in humans: A systematic review|Distinct learning, retention, and generalization patterns in de novo learning versus motor adaptation|D-amphetamine does not improve outcome of somatosensory training|Predicting the success of cataract surgery|Multisession anodal transcranial direct current stimulation induces motor cortex plasticity enhancement and motor learning generalization in an aging population|High-intensity acute exercise impacts motor learning in healthy older adults|Effects of a Tailored Pediatric Rehabilitation Protocol on Children With Neurometabolic Disorder: A Case Report|ERP evidence of adaptive changes in error processing and attentional control during rhythm synchronization learning|Neurocognitive Contributions to Motor Skill Learning: The Role of Working Memory|Somatosensory Contribution to the Initial Stages of Human Motor Learning|Effect of early motor training on visual and sensomotor cortical evoked potentials in rats|Social-skills training with institutionalized elderly: Effects of precounseling structuring and overlearning on skill acquisition and transfer|Implicit sensorimotor learning in ballistic movement for transporting an object to a target|Long-term potentiation at cerebellar parallel fiber-Purkinje cell synapses requires presynaptic and postsynaptic signaling cascades|Trainer Feedback: A Method for Teaching Interpersonal Skills|The impact of behavioural skills training on the knowledge, skills and well-being of front line staff in the intellectual disability sector: a clustered randomised control trial|Exploring motor skill acquisition in bimanual coordination: insights from navigating a novel maze task|Distinct contribution of the cortico-striatal and cortico-cerebellar systems to motor skill learning|Contributions of the basal ganglia and functionally related brain structures to motor learning|Educating Trainees to Treat Peripheral Arterial Disease: Challenges and Opportunities|Electromyographic biofeedback for tension control during fine motor skill acquisition|Rest the brain to learn new gait patterns after stroke|Sleep benefits consolidation of visuo-motor adaptation learning in older adults|Fundamental processes in sensorimotor learning: Reasoning, refinement, and retrieval|Investigating the cortical effect of false positive feedback on motor learning in motor imagery based rehabilitative BCI training|Examination of acute spin exercise on GABA levels in aging and stroke: The EASE study protocol|Play Partner Preferences in Siberian Ibex, Capra ibex sibirica
ERP evidence of adaptive changes in error processing and attentional control during rhythm synchronization learning|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Neurocognitive Contributions to Motor Skill Learning: The Role of Working Memory|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Somatosensory Contribution to the Initial Stages of Human Motor Learning|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Effect of early motor training on visual and sensomotor cortical evoked potentials in rats|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Social-skills training with institutionalized elderly: Effects of precounseling structuring and overlearning on skill acquisition and transfer|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Implicit sensorimotor learning in ballistic movement for transporting an object to a target|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Long-term potentiation at cerebellar parallel fiber-Purkinje cell synapses requires presynaptic and postsynaptic signaling cascades|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Trainer Feedback: A Method for Teaching Interpersonal Skills|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
The impact of behavioural skills training on the knowledge, skills and well-being of front line staff in the intellectual disability sector: a clustered randomised control trial|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Exploring motor skill acquisition in bimanual coordination: insights from navigating a novel maze task|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Distinct contribution of the cortico-striatal and cortico-cerebellar systems to motor skill learning|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Contributions of the basal ganglia and functionally related brain structures to motor learning|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Educating Trainees to Treat Peripheral Arterial Disease: Challenges and Opportunities|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Electromyographic biofeedback for tension control during fine motor skill acquisition|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Rest the brain to learn new gait patterns after stroke|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Sleep benefits consolidation of visuo-motor adaptation learning in older adults|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Fundamental processes in sensorimotor learning: Reasoning, refinement, and retrieval|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Investigating the cortical effect of false positive feedback on motor learning in motor imagery based rehabilitative BCI training|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Examination of acute spin exercise on GABA levels in aging and stroke: The EASE study protocol|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Play Partner Preferences in Siberian Ibex, Capra ibex sibirica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
